"time","fragmentation.index","logit.fragmentation.index","trans.frag.index"
-541,0.425213867,-0.301405770176789,0.427392347872758
-540,0.425105082,-0.301850882664505,0.427180440902462
-539,0.424631748,-0.30378795604156,0.426247397817182
-538,0.42458619,-0.303974427513546,0.426145723850639
-537,0.423701746,-0.307595550301745,0.424354375742253
-536,0.423892753,-0.306813353873271,0.424752376260445
-535,0.424328584,-0.305028922221394,0.425634778503039
-534,0.42503647,-0.302131635691371,0.427052618419972
-533,0.425771443,-0.299124816480284,0.428454403591625
-532,0.425960508,-0.298351557599871,0.428801883190119
-531,0.424600254,-0.303916862206246,0.426174793248729
-530,0.424288937,-0.305191229767517,0.425546826964059
-529,0.424736236,-0.30336030053459,0.426450134559081
-528,0.425126969,-0.30176132586623,0.427222937569386
-527,0.425374449,-0.300748775519584,0.427700399654495
-526,0.425589645,-0.299868437704181,0.428114706246604
-525,0.425743084,-0.299240809895682,0.4284004098119
-524,0.425815119,-0.298946177684037,0.428535131184968
-523,0.422998982,-0.31047425838064,0.422933520740988
-522,0.422978783,-0.310557017666688,0.422890034154448
-521,0.423689261,-0.30764668111302,0.424339639310595
-520,0.42421583,-0.305490526877904,0.425400055428839
-519,0.424609192,-0.30388027837063,0.426203847029727
-518,0.424776122,-0.30319705969588,0.426536753722003
-517,0.42523455,-0.301321145488416,0.427434552255162
-516,0.425733342,-0.299280656890586,0.428386889662195
-515,0.426236731,-0.297221989410299,0.429298289461716
-514,0.426636538,-0.295587378068923,0.429990796118894
-513,0.426813616,-0.294863519861215,0.430294822375414
-512,0.427327106,-0.292764911925953,0.431119878760288
-511,0.428165419,-0.289340141595915,0.432333277162387
-510,0.429107351,-0.285494063671277,0.43352949690866
-509,0.429650931,-0.283275484504647,0.434144693586092
-508,0.430153801,-0.28122367662242,0.434669877887835
-507,0.430635451,-0.27925900178238,0.435141514113069
-506,0.431052566,-0.277558001186541,0.435528917997633
-505,0.431454649,-0.275918678907077,0.435894967410539
-504,0.431933468,-0.273966978540133,0.436311845216423
