X,time,fragmentation.index,logit.fragmentation.index
160,-160,0.367991487,-0.540843059
161,-161,0.365285496,-0.552496069
162,-162,0.364831842,-0.554453239
163,-163,0.364035221,-0.557892559
164,-164,0.364087192,-0.557668082
165,-165,0.364719487,-0.554938125
166,-166,0.36458252,-0.555529314
167,-167,0.364339083,-0.556580291
168,-168,0.325370866,-0.729197451
169,-169,0.324895513,-0.731363842
170,-170,0.324699843,-0.732256073
171,-171,0.325273753,-0.729639904
172,-172,0.321419973,-0.747253824
173,-173,0.31954972,-0.755841876
174,-174,0.319688074,-0.755205656
175,-175,0.312802378,-0.787050299
176,-176,0.312986948,-0.786191801
177,-177,0.313293931,-0.784764527
178,-178,0.3148821,-0.777392657
179,-179,0.316153026,-0.771507815
180,-180,0.317832826,-0.763749211
181,-181,0.317610584,-0.764774432
182,-182,0.31672822,-0.768848645
183,-183,0.316622831,-0.769335673
184,-184,0.316423553,-0.770256823
185,-185,0.316666936,-0.769131843
186,-186,0.316627636,-0.769313466
187,-187,0.316572006,-0.769570579
188,-188,0.316504003,-0.76988491
189,-189,0.316381967,-0.77044909
190,-190,0.316314636,-0.770760416
191,-191,0.316052718,-0.771971813
192,-192,0.315814697,-0.773073152
193,-193,0.315563055,-0.774238003
194,-194,0.316132171,-0.771604278
195,-195,0.315873324,-0.77280184
196,-196,0.333155366,-0.693948141
197,-197,0.333172978,-0.693868866
198,-198,0.332798915,-0.695553029
199,-199,0.332553334,-0.696659236
200,-200,0.332647266,-0.696236075
201,-201,0.331010949,-0.70361624
202,-202,0.330526514,-0.705804682
203,-203,0.330667738,-0.705166533
204,-204,0.330215853,-0.707208951
205,-205,0.328400115,-0.715430026
206,-206,0.326907179,-0.722206967
207,-207,0.320920414,-0.74954517
208,-208,0.319465117,-0.756230994
209,-209,0.318649592,-0.759984682
210,-210,0.318670523,-0.759888277
211,-211,0.32220427,-0.743660236
212,-212,0.322735632,-0.741228185
213,-213,0.329885318,-0.708703792
214,-214,0.330337669,-0.706658231
215,-215,0.330910118,-0.704071612
216,-216,0.329714832,-0.70947511
217,-217,0.329648595,-0.709774837
218,-218,0.328176714,-0.716443113
219,-219,0.327752789,-0.718366514
220,-220,0.327156978,-0.721071941
221,-221,0.326505829,-0.724031539
222,-222,0.32583617,-0.727078444
223,-223,0.325341847,-0.729329656
224,-224,0.324917612,-0.731263091
225,-225,0.324845916,-0.731589972
226,-226,0.324620739,-0.732616857
227,-227,0.324490696,-0.733210067
228,-228,0.324444048,-0.733422888
229,-229,0.32440493,-0.733601368
230,-230,0.324178003,-0.734636966
231,-231,0.323720558,-0.736725698
232,-232,0.321545797,-0.746676998
233,-233,0.318859922,-0.759016089
234,-234,0.317563638,-0.764991047
235,-235,0.314682779,-0.778316747
236,-236,0.315508498,-0.774490613
237,-237,0.314928703,-0.777176643
238,-238,0.314492154,-0.779200816
239,-239,0.314099987,-0.781020498
240,-240,0.313726375,-0.78275523
241,-241,0.313720032,-0.782784691
242,-242,0.313678779,-0.782976305
243,-243,0.313793623,-0.782442905
244,-244,0.31554136,-0.774338452
245,-245,0.315251991,-0.77567861
246,-246,0.334964673,-0.68581509
247,-247,0.335663526,-0.682679512
248,-248,0.335186856,-0.684817859
249,-249,0.334848637,-0.686336028
250,-250,0.335937236,-0.681452324
251,-251,0.327694794,-0.718629744
252,-252,0.325474957,-0.728723282
253,-253,0.326689806,-0.723195021
254,-254,0.326566238,-0.723756841
255,-255,0.32639975,-0.724513977
256,-256,0.327414442,-0.719902552
257,-257,0.332217446,-0.69817289
258,-258,0.333766757,-0.691197407
259,-259,0.331797986,-0.700064236
260,-260,0.332310561,-0.697753197
261,-261,0.343486929,-0.647793545
262,-262,0.344711088,-0.642369585
263,-263,0.345517368,-0.638802138
264,-264,0.347115211,-0.631743935
265,-265,0.348157117,-0.627149692
266,-266,0.347117285,-0.631734784
267,-267,0.34885025,-0.624096899
268,-268,0.348952491,-0.623646834
269,-269,0.350053648,-0.618803401
270,-270,0.35162668,-0.611896597
271,-271,0.354752948,-0.598211644
272,-272,0.35556515,-0.594665236
273,-273,0.356549941,-0.590370099
274,-274,0.357646049,-0.58559567
275,-275,0.358844399,-0.580383309
276,-276,0.360489848,-0.5732387
277,-277,0.362543608,-0.564341105
278,-278,0.363690446,-0.559382082
279,-279,0.364366801,-0.556460611
280,-280,0.365462836,-0.551731263
281,-281,0.364637398,-0.555292433
282,-282,0.364326601,-0.556634187
283,-283,0.363872054,-0.55859741
284,-284,0.36358511,-0.559837284
285,-285,0.363405847,-0.560612085
286,-286,0.363145796,-0.561736355
287,-287,0.362579051,-0.564187746
288,-288,0.36162074,-0.568336575
289,-289,0.36063529,-0.572607872
290,-290,0.359807719,-0.576198795
291,-291,0.359027307,-0.579588406
292,-292,0.357884108,-0.584559591
293,-293,0.356036547,-0.592608589
294,-294,0.354592529,-0.598912531
295,-295,0.353517346,-0.603613814
296,-296,0.35291411,-0.606254324
297,-297,0.352249371,-0.609166425
298,-298,0.351534489,-0.612300994
299,-299,0.350919106,-0.615001623
300,-300,0.35053135,-0.616704421
301,-301,0.347980553,-0.627927792
302,-302,0.345728759,-0.637867473
303,-303,0.345543921,-0.638684719
304,-304,0.345394519,-0.639345438
305,-305,0.345291473,-0.63980123
306,-306,0.344549942,-0.643083062
307,-307,0.344546494,-0.643098329
308,-308,0.344625347,-0.642749185
309,-309,0.35307005,-0.605571541
310,-310,0.353073937,-0.605554523
311,-311,0.351990234,-0.610302336
312,-312,0.351458014,-0.612636489
313,-313,0.35045298,-0.617048681
314,-314,0.349900849,-0.619475065
315,-315,0.349790512,-0.619960162
316,-316,0.349849607,-0.619700342
317,-317,0.349977409,-0.619138511
318,-318,0.350188996,-0.61820856
319,-319,0.352227647,-0.609261637
320,-320,0.353055654,-0.605634568
321,-321,0.354132681,-0.600922446
322,-322,0.355041172,-0.596952722
323,-323,0.356431439,-0.590886661
324,-324,0.383237458,-0.475829299
325,-325,0.397111554,-0.417514948
326,-326,0.397723087,-0.414961326
327,-327,0.399606125,-0.407106524
328,-328,0.400087944,-0.405098688
329,-329,0.400450442,-0.403588618
330,-330,0.400949852,-0.401508952
331,-331,0.401424502,-0.399533187
332,-332,0.403511611,-0.390854513
333,-333,0.403862767,-0.389395763
334,-334,0.410575832,-0.361585431
335,-335,0.410559808,-0.361651646
336,-336,0.410605486,-0.361462897
337,-337,0.410701361,-0.361066748
338,-338,0.410645003,-0.361299612
339,-339,0.410926069,-0.360138378
340,-340,0.413080077,-0.351246928
341,-341,0.408620071,-0.369672866
342,-342,0.407732603,-0.373346642
343,-343,0.406841229,-0.377039097
344,-344,0.409195009,-0.367294161
345,-345,0.41172568,-0.356836067
346,-346,0.412803463,-0.352387977
347,-347,0.413237277,-0.35059857
348,-348,0.413300951,-0.350335972
349,-349,0.421849045,-0.315187466
350,-350,0.421365398,-0.317170808
351,-351,0.421345233,-0.317253514
352,-352,0.421081045,-0.318337173
353,-353,0.420279481,-0.321626203
354,-354,0.420266538,-0.321679325
355,-355,0.420037642,-0.32261887
356,-356,0.426677063,-0.295421713
357,-357,0.424712679,-0.303456714
358,-358,0.42379556,-0.307211359
359,-359,0.423441342,-0.308662086
360,-360,0.422393241,-0.312956559
361,-361,0.420888456,-0.31912726
362,-362,0.413195317,-0.350771623
363,-363,0.410655307,-0.361257036
364,-364,0.410843146,-0.360480952
365,-365,0.410490769,-0.361936937
366,-366,0.419797831,-0.323603369
367,-367,0.421610918,-0.316163901
368,-368,0.422731883,-0.311568701
369,-369,0.416623063,-0.336651637
370,-370,0.417185933,-0.334336206
371,-371,0.417820606,-0.331726469
372,-372,0.418537729,-0.328779049
373,-373,0.420691519,-0.319935287
374,-374,0.420593147,-0.320338943
375,-375,0.420511233,-0.320675086
376,-376,0.420412152,-0.3210817
377,-377,0.420464957,-0.320864993
378,-378,0.423939153,-0.306623354
379,-379,0.42384367,-0.307014346
380,-380,0.423727462,-0.307490235
381,-381,0.423659911,-0.307766882
382,-382,0.423159498,-0.30981663
383,-383,0.422886603,-0.310934711
384,-384,0.422753585,-0.31147977
385,-385,0.422679154,-0.311784781
386,-386,0.422766282,-0.31142774
387,-387,0.422950843,-0.310671495
388,-388,0.410931574,-0.360115636
389,-389,0.411085098,-0.35948145
390,-390,0.410518476,-0.361822441
391,-391,0.40984207,-0.364618289
392,-392,0.409590435,-0.365658753
393,-393,0.409345142,-0.366673182
394,-394,0.409218686,-0.367196224
395,-395,0.40801275,-0.372186674
396,-396,0.405884427,-0.381005411
397,-397,0.405192971,-0.383873607
398,-398,0.403662436,-0.390227915
399,-399,0.400777556,-0.402226338
400,-400,0.400686218,-0.402606682
401,-401,0.400712959,-0.402495326
402,-402,0.395988852,-0.422206595
403,-403,0.397310783,-0.416682866
404,-404,0.385192074,-0.4675678
405,-405,0.404438158,-0.387006393
